sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.MN.L08-TO.U.4,(77),Minneapolis,L08-TO,0.3421220286682966,4,U,K3,0.001
TO.MN.L08-TO.U.5,(57),Minneapolis,L08-TO,0.3421220286682966,5,U,K1,0.016
TO.MN.L08-TO.U.5,(57),Minneapolis,L08-TO,0.3421220286682966,5,U,K2,0.802
TO.MN.L08-TO.U.5,(57),Minneapolis,L08-TO,0.3421220286682966,5,U,K3,0.182
TO.BA.RG-1.M.2,(78),Baltimore,RG-1,1,2,M,K1,0.998
TO.BA.RG-1.M.2,(78),Baltimore,RG-1,1,2,M,K2,0.001
TO.BA.RG-1.M.2,(78),Baltimore,RG-1,1,2,M,K3,0.001
TO.BA.RG-1.M.4,(81),Baltimore,RG-1,1,4,M,K1,0.997
TO.BA.RG-1.M.4,(81),Baltimore,RG-1,1,4,M,K2,0.002
TO.BA.RG-1.M.4,(81),Baltimore,RG-1,1,4,M,K3,0.002
TO.BA.RG-1.M.5,(72),Baltimore,RG-1,1,5,M,K1,0.892
TO.BA.RG-1.M.5,(72),Baltimore,RG-1,1,5,M,K2,0.104
TO.BA.RG-1.M.5,(72),Baltimore,RG-1,1,5,M,K3,0.003
TO.MN.L05-TO.U.1,(69),Minneapolis,L05-TO,1.198045888162427,1,U,K1,0.999
TO.MN.L05-TO.U.1,(69),Minneapolis,L05-TO,1.198045888162427,1,U,K2,0.001
TO.MN.L05-TO.U.1,(69),Minneapolis,L05-TO,1.198045888162427,1,U,K3,0.001
TO.MN.L05-TO.U.2,(61),Minneapolis,L05-TO,1.198045888162427,2,U,K1,0.998
TO.MN.L05-TO.U.2,(61),Minneapolis,L05-TO,1.198045888162427,2,U,K2,0.001
TO.MN.L05-TO.U.2,(61),Minneapolis,L05-TO,1.198045888162427,2,U,K3,0.001
TO.MN.L05-TO.U.3,(76),Minneapolis,L05-TO,1.198045888162427,3,U,K1,0.003
TO.MN.L05-TO.U.3,(76),Minneapolis,L05-TO,1.198045888162427,3,U,K2,0.558
TO.MN.L05-TO.U.3,(76),Minneapolis,L05-TO,1.198045888162427,3,U,K3,0.439
TO.MN.L05-TO.U.4,(54),Minneapolis,L05-TO,1.198045888162427,4,U,K1,0.004
TO.MN.L05-TO.U.4,(54),Minneapolis,L05-TO,1.198045888162427,4,U,K2,0.001
TO.MN.L05-TO.U.4,(54),Minneapolis,L05-TO,1.198045888162427,4,U,K3,0.995
TO.MN.L05-TO.U.5,(55),Minneapolis,L05-TO,1.198045888162427,5,U,K1,0.996
TO.MN.L05-TO.U.5,(55),Minneapolis,L05-TO,1.198045888162427,5,U,K2,0.002
TO.MN.L05-TO.U.5,(55),Minneapolis,L05-TO,1.198045888162427,5,U,K3,0.002
TO.MN.L03-TO.U.3,(83),Minneapolis,L03-TO,3.232708561078956,3,U,K1,0.855
TO.MN.L03-TO.U.3,(83),Minneapolis,L03-TO,3.232708561078956,3,U,K2,0.14
TO.MN.L03-TO.U.3,(83),Minneapolis,L03-TO,3.232708561078956,3,U,K3,0.005
TO.MN.L03-TO.U.4,(57),Minneapolis,L03-TO,3.232708561078956,4,U,K1,0.999
TO.MN.L03-TO.U.4,(57),Minneapolis,L03-TO,3.232708561078956,4,U,K2,0
TO.MN.L03-TO.U.4,(57),Minneapolis,L03-TO,3.232708561078956,4,U,K3,0
TO.MN.L03-TO.U.5,(67),Minneapolis,L03-TO,3.232708561078956,5,U,K1,0.3
TO.MN.L03-TO.U.5,(67),Minneapolis,L03-TO,3.232708561078956,5,U,K2,0.698
TO.MN.L03-TO.U.5,(67),Minneapolis,L03-TO,3.232708561078956,5,U,K3,0.002
TO.MN.L08-TO.M.1,(77),Minneapolis,L08-TO,5.371175319082491,1,M,K1,0.989
TO.MN.L08-TO.M.1,(77),Minneapolis,L08-TO,5.371175319082491,1,M,K2,0.009
TO.MN.L08-TO.M.1,(77),Minneapolis,L08-TO,5.371175319082491,1,M,K3,0.002
TO.MN.L08-TO.M.2,(59),Minneapolis,L08-TO,5.371175319082491,2,M,K1,0.002
TO.MN.L08-TO.M.2,(59),Minneapolis,L08-TO,5.371175319082491,2,M,K2,0.001
TO.MN.L08-TO.M.2,(59),Minneapolis,L08-TO,5.371175319082491,2,M,K3,0.997
TO.MN.L08-TO.M.4,(55),Minneapolis,L08-TO,5.371175319082491,4,M,K1,0.006
TO.MN.L08-TO.M.4,(55),Minneapolis,L08-TO,5.371175319082491,4,M,K2,0.001
TO.MN.L08-TO.M.4,(55),Minneapolis,L08-TO,5.371175319082491,4,M,K3,0.993
TO.MN.L08-TO.M.5,(50),Minneapolis,L08-TO,5.371175319082491,5,M,K1,0.001
TO.MN.L08-TO.M.5,(50),Minneapolis,L08-TO,5.371175319082491,5,M,K2,0.001
TO.MN.L08-TO.M.5,(50),Minneapolis,L08-TO,5.371175319082491,5,M,K3,0.998
TO.MN.L06-TO.M.2,(56),Minneapolis,L06-TO,9.0413215691248,2,M,K1,0.998
TO.MN.L06-TO.M.2,(56),Minneapolis,L06-TO,9.0413215691248,2,M,K2,0.001
TO.MN.L06-TO.M.2,(56),Minneapolis,L06-TO,9.0413215691248,2,M,K3,0.001
TO.MN.L06-TO.M.3,(63),Minneapolis,L06-TO,9.0413215691248,3,M,K1,0.995
TO.MN.L06-TO.M.3,(63),Minneapolis,L06-TO,9.0413215691248,3,M,K2,0.004
TO.MN.L06-TO.M.3,(63),Minneapolis,L06-TO,9.0413215691248,3,M,K3,0.001
TO.MN.L06-TO.M.5,(60),Minneapolis,L06-TO,9.0413215691248,5,M,K1,0.996
TO.MN.L06-TO.M.5,(60),Minneapolis,L06-TO,9.0413215691248,5,M,K2,0.003
TO.MN.L06-TO.M.5,(60),Minneapolis,L06-TO,9.0413215691248,5,M,K3,0.001
TO.BA.W3.M.2,(54),Baltimore,W3,10.480356001667678,2,M,K1,0.001
TO.BA.W3.M.2,(54),Baltimore,W3,10.480356001667678,2,M,K2,0.001
TO.BA.W3.M.2,(54),Baltimore,W3,10.480356001667678,2,M,K3,0.998
TO.BA.W3.M.3,(64),Baltimore,W3,10.480356001667678,3,M,K1,0.629
TO.BA.W3.M.3,(64),Baltimore,W3,10.480356001667678,3,M,K2,0.337
TO.BA.W3.M.3,(64),Baltimore,W3,10.480356001667678,3,M,K3,0.034
TO.BA.W3.M.4,(57),Baltimore,W3,10.480356001667678,4,M,K1,0.026
TO.BA.W3.M.4,(57),Baltimore,W3,10.480356001667678,4,M,K2,0.957
TO.BA.W3.M.4,(57),Baltimore,W3,10.480356001667678,4,M,K3,0.017
TO.BA.W3.M.5,(78),Baltimore,W3,10.480356001667678,5,M,K1,0.076
TO.BA.W3.M.5,(78),Baltimore,W3,10.480356001667678,5,M,K2,0.924
TO.BA.W3.M.5,(78),Baltimore,W3,10.480356001667678,5,M,K3,0.001
TO.BA.LL-3.M.1,(61),Baltimore,LL-3,11.01493048061913,1,M,K1,0.998
TO.BA.LL-3.M.1,(61),Baltimore,LL-3,11.01493048061913,1,M,K2,0.001
